"address","storey_range","LATITUDE","LONGITUDE","resale_price","floor_area_sqm","remaining_lease_year","PROX_CBD","PROX_ELDERLYCARE","PROX_HAWKER","PROX_MRTLRT","PROX_PARKS","PROX_SUPERMARKETS","PROX_CLINICS","NUM_KINDERGARDEN_350M","NUM_CHILDCARE_350M","NUM_BUSSTOP_350M","NUM_PRISCH_1KM","storey_01TO03","storey_04TO06","storey_07TO09","storey_10TO12","storey_13TO15","storey_16TO18","storey_19TO21","storey_22TO24","storey_25TO27","storey_28TO30","storey_31TO33","storey_34TO36","storey_37TO39","storey_40TO42","storey_43TO45","storey_46TO48","storey_49TO51"
"8 ST. GEORGE'S LANE","01 TO 03",1.32212658853449,103.859757565681,435000,93,62,7.047,0.474202155121789,0.485226483076071,0.370496890063415,0.70138712259601,0.0699277305910048,0.15861480761645,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 ST. GEORGE'S RD","04 TO 06",1.32214304015031,103.860527604458,370000,82,56,7.053,0.40818593418152,0.426270699575016,0.330030709208887,0.618620337500703,0.1399691804119,0.0810894306069109,1,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23 ST. GEORGE'S RD","01 TO 03",1.32210154869233,103.86211483721,440000,91,64,6.795,0.288976097729779,0.334534518753238,0.302971879754215,0.454895620083296,0.30870223572459,0.124334394411781,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14 ST. GEORGE'S RD","07 TO 09",1.32212282694162,103.86218890545,470000,93,64,6.795,0.287152308474965,0.334401671002518,0.306690822071002,0.446420327624003,0.317229148609902,0.124382986241452,1,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10 ST. GEORGE'S RD","01 TO 03",1.32212434938077,103.858962948486,488000,104,64,5.879,0.478478301210298,0.435231670801818,0.427676277864537,0.787071137092588,0.0728316209379632,0.24407228616093,2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20 ST. GEORGE'S RD","01 TO 03",1.32209710700002,103.860297504321,385000,93,64,7.047,0.42534339886043,0.439676784333214,0.336335292745962,0.644586403519971,0.114711747255283,0.105167182533154,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5 ST. GEORGE'S LANE","07 TO 09",1.32214336430991,103.860377759519,460000,93,60,7.047,0.421287545337553,0.437337863350501,0.336929887034944,0.634551834965785,0.124996257359108,0.094877297879209,1,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11 ST. GEORGE'S RD","04 TO 06",1.32211242137325,103.860706369123,486000,104,64,7.053,0.3907303951985,0.410950436705709,0.319591446216254,0.600700800279598,0.157085997962482,0.068909677555906,1,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4B ST. GEORGE'S LANE","04 TO 06",1.32213619931884,103.859153404514,488888,104,76,5.879,0.474716674689517,0.455726924582139,0.413883480109399,0.766174827949057,0.0626213137672625,0.223095568109153,2,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5 ST. GEORGE'S LANE","07 TO 09",1.32214593170196,103.85999352687,430000,93,60,7.047,0.456059192411669,0.46737375151474,0.357741857462198,0.675515510089277,0.0895268581828234,0.133213516951149,1,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
