Name,Address,Zip/Postal Code,Country,Lat,Lng,Weight,Remarks,Icon Color,Icon Shape
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206.0,Singapore,,,,,#c00,
AI TONG SCHOOL,100 Bright Hill Drive,579646.0,Singapore,,,,,#c00,
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907.0,Singapore,,,,,#c00,
ASSUMPTION ENGLISH SCHOOL,622 Upper Bukit Timah Road Assumption English School,678117.0,Singapore,,,,,#c00,
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918.0,Singapore,,,,,#c00,
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650.0,Singapore,,,,,#c00,
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745.0,Singapore,,,,,#c00,
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362.0,Singapore,,,,,#c00,
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI ROAD,538403.0,Singapore,,,,,#c00,
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229.0,Singapore,,,,,#c00,
DA QIAO PRIMARY SCHOOL,8 ANG MO KIO STREET 54,569185.0,Singapore,,,,,#c00,
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961.0,Singapore,,,,,#c00,
CORAL SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901.0,Singapore,,,,,#c00,
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814.0,Singapore,,,,,#c00,
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091.0,Singapore,,,,,#c00,
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903.0,Singapore,,,,,#c00,
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905.0,Singapore,,,,,#c00,
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392.0,Singapore,,,,,#c00,
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405.0,Singapore,,,,,#c00,
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764.0,Singapore,,,,,#c00,
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive,679287.0,Singapore,,,,,#c00,
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive,558979.0,Singapore,,,,,#c00,
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821.0,Singapore,,,,,#c00,
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894.0,Singapore,,,,,#c00,
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692.0,Singapore,,,,,#c00,
CANTONMENT PRIMARY SCHOOL,1 Cantonment Close,88256.0,Singapore,,,,,#c00,
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714.0,Singapore,,,,,#c00,
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634.0,Singapore,,,,,#c00,
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050.0,Singapore,,,,,#c00,
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935.0,Singapore,,,,,#c00,
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100.0,Singapore,,,,,#c00,
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD,327919.0,Singapore,,,,,#c00,
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258.0,Singapore,,,,,#c00,
INNOVA JUNIOR COLLEGE,21 Champions Way,737902.0,Singapore,,,,,#c00,
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857.0,Singapore,,,,,#c00,
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256.0,Singapore,,,,,#c00,
HORIZON PRIMARY SCHOOL,61 Edgedale Plains,828819.0,Singapore,,,,,#c00,
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250.0,Singapore,,,,,#c00,
HENDERSON SECONDARY SCHOOL,100 HENDERSON RD,159544.0,Singapore,,,,,#c00,
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421.0,Singapore,,,,,#c00,
GUANGYANG PRIMARY SCHOOL,6 Bishan Street 12,579806.0,Singapore,,,,,#c00,
GREENVIEW SECONDARY SCHOOL,15 PASIR RIS STREET 21,518969.0,Singapore,,,,,#c00,
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744.0,Singapore,,,,,#c00,
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,828848.0,Singapore,,,,,#c00,
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central,389706.0,Singapore,,,,,#c00,
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561.0,Singapore,,,,,#c00,
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647.0,Singapore,,,,,#c00,
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063.0,Singapore,,,,,#c00,
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252.0,Singapore,,,,,#c00,
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680.0,Singapore,,,,,#c00,
FAJAR SECONDARY SCHOOL,58 Chestnut Drive,679301.0,Singapore,,,,,#c00,
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814.0,Singapore,,,,,#c00,
EAST VIEW SECONDARY SCHOOL,3 TAMPINES STREET 42,529177.0,Singapore,,,,,#c00,
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454.0,Singapore,,,,,#c00,
OASIS PRIMARY SCHOOL,71 Edgefield Plains,828716.0,Singapore,,,,,#c00,
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026.0,Singapore,,,,,#c00,
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081.0,Singapore,,,,,#c00,
NORTH VIEW SECONDARY SCHOOL,530 YISHUN RING ROAD,768680.0,Singapore,,,,,#c00,
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088.0,Singapore,,,,,#c00,
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149.0,Singapore,,,,,#c00,
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812.0,Singapore,,,,,#c00,
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028.0,Singapore,,,,,#c00,
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806.0,Singapore,,,,,#c00,
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080.0,Singapore,,,,,#c00,
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965.0,Singapore,,,,,#c00,
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798.0,Singapore,,,,,#c00,
